id,city,city_tier,age_group,fd_amount_l,fd_count,days_left,last_login_days,n_signals,has_early_withdrawal,has_no_login,has_competitor_browse,has_safety_check,has_support_ticket,has_rate_compare,has_mf_browse,has_stocks_search,persona,outcome,risk_score,urgency
1,Kolkata,1,senior,6.96,1,19,1,3,1,0,0,1,0,1,0,0,Exiter,Churn,44,36
2,Mumbai,1,senior,6.75,1,30,24,3,0,0,0,0,1,0,1,1,Optimizer,Renew,5,4
3,Ahmedabad,1,young,3.77,2,2,36,3,1,1,0,1,0,0,0,0,Exiter,Withdraw,83,90
4,Surat,3,mid,2.78,1,29,51,2,0,1,0,0,0,1,0,0,Exiter,Churn,38,37
5,Chennai,1,mid,7.81,3,1,1,4,1,0,0,0,1,1,1,0,Optimizer,Upgrade,65,62
6,Kochi,2,mid,3.46,1,13,2,1,1,0,0,0,0,0,0,0,Exiter,Churn,30,28
7,Pune,1,senior,0.69,1,19,3,2,0,0,0,1,0,0,1,0,Protector,Renew,1,0
8,Mumbai,1,mid,5.63,2,30,4,2,1,0,0,1,0,0,0,0,Protector,Upgrade,26,24
9,Mumbai,1,mid,1.49,2,20,10,0,0,0,0,0,0,0,0,0,Protector,Renew,0,3
10,Bengaluru,1,mid,4.92,2,16,1,2,0,0,0,0,1,1,0,0,Anxious Saver,Withdraw,24,27
11,Hyderabad,1,mid,2.61,2,8,4,2,0,0,0,1,0,1,0,0,Protector,Renew,15,10
12,Coimbatore,2,mid,2.63,1,17,7,2,1,0,0,1,0,0,0,0,Anxious Saver,Withdraw,29,23
13,Kolkata,1,mid,1.98,1,10,17,1,0,0,0,0,0,1,0,0,Protector,Renew,26,28
14,Bhopal,3,mid,2.25,1,2,1,2,1,0,0,1,0,0,0,0,Exiter,Churn,49,50
15,Varanasi,3,young,3.74,1,16,27,2,0,0,0,0,0,0,1,1,Optimizer,Upgrade,0,0
16,Coimbatore,2,mid,1.02,1,16,4,2,0,0,0,0,1,0,1,0,Protector,Renew,4,7
17,Ahmedabad,1,mid,3.53,1,19,23,3,0,0,0,1,1,0,1,0,Anxious Saver,Withdraw,20,19
18,Surat,3,senior,2.18,1,13,4,2,1,0,1,0,0,0,0,0,Exiter,Withdraw,49,47
19,Surat,3,mid,3.77,2,3,12,2,1,0,0,1,0,0,0,0,Anxious Saver,Withdraw,42,41
